QueryText,KccAns
INFORMATION REGARDING WEATHER FORECAST,WEATHER UPDATE: THERE ARE SOME CHANCES OF RAIN IN NEXT FEW DAYS
INFORMATION REGARDING WEATHER FORECAST,THERE ARE SOME CHANCES OF RAINFALL NEXT TWO DAYS
information regarding weather ?,"Light rain (total 7mm), mostly falling on Fri night."
Information regarding how to control Fruit Borer in Tomato?,Spray 100 ml. Sumicidine in 100 lt. of water per acre.
INFORMATION REGARDING TO WEATHER?,SOME CLOUDS AND SOME CHANCES OF RAINFALL .
INFORMATION REGARDING FOR WEATHER,TODAY CHANCES OF RAINFAAL AND HEAVY THUNDERSTORM IN AMRITSAR.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-123,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE animal husbandry ?,0183 2536283.
INFORMATION REGARDING FOR CONTROL OF FUNGUS IN OKRA ?,SPRAY BLUE COPPER @ 300 GM + 6 GM STREPTOMYCIN IN 150 LITRE WATER/ACRE.
INFORMATION REGARDING TO WEATHER?,there are chances of rain for two days from today
IFORMATION REGARDING FOR THE CONTROLOF CATERPILLER/?,APPLY AVAUNT @ 200 ML PER 150 LITRE WATER.
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,Some sun with a strong thunderstorm
INFORMATION REGARDING FOR NEW VARIETY OF PADDY ?,NEW VARIETY OF PADDY IS PR-123 AND ITS YIELD IS 29.0 Q/ACRE.
INFORMATION REGARDING FERTILIZER DOSE IN SORGHUM CROPS ?,"IRRIGATED AREAS,APPLY 44KG UREA ,50KG(SSP) ."
HOW TO CONTROL OF APHID IN WHEAT CROP?,SPRAY OF IMIDACLOPRID 200 SL  (Bayer)  @ 40 ML IN 100 LITRES OF WATER PER ACRE.
INFORMATION REGARDING WEATHER OF AMRITSAR SAHIB?,HEAVY RAINFALL FOR2 DAYS
INFORMATION REGARDING FOR THE SOWING TIME OF BOTTLEGOURD(GHIYA KADDU)?,"THERE IS THE THREE SEASON OF BOTTLEGOURD(GHIYA KADDU) SOWING-1.FEB.-MARCH,2.JUNE-JULY,3.NOV.-DEC."
INFORMATION REGARDING FOR WEATHER,TODAY SOME CHANCES OF SHOWERS AND THUNDERSTORM IN AMRITSAR.
INFORMATION REGARDING WEATHER OF AMRITSAR?,HEAVY RAINFALL TODAY
INFORMATION REGARDING FOR WEATHER,TODAY SOME CHANCES OF SHOWERS AND THUNDERSTORM
information regading weather of amritsar?,rainfall expected in next few days.
INFORMATION REGARDING WEATHER FORECAST  ?,WEATHER IS CLOUDY FOR NEXT TWO DAYS AND SOME CHANCE OF RAIN.
information regarding varieties of sugarcane?,coj-89.
INFORMATION REGARDING FOR THE CONTROL OF TERMITE IN PAPULAR CROP?,"FOR THE CONTROL OF TERMITE IN PAPULAR CROP,BRAODCAST 1.5 LITRE CHLORO AFTER MIXING IN 15 KG SAND BEFORE IRRIGATION."
INFORMATION REGARDING CONTROL DROPPING OF FRUITS AND LEAF ?,SPRAY 1ML PLANOFIX IN 4 LTR OF WATER / PLANT .
INFORMATION REGARDING WEATHER FORECAST,TODAY SOME CHANCES OF SHOWERS IN AMRITSAR.
information regarding of weather?,weather is cloudy & no chances of rainfoll
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,10% CHANCE OF RAINFALL TODAY
INFORMATION REGARDING FOR THE VARIEITES OF BASMATI ?,VARITIES OF BASMATI ARE PUNJAB BASMATI-3 AND PUSA PUNJAB BASMATI-1509.
information rega rding control of aphid in moong?,spray of confidor @75ml in 200 litre water /acer
INFORMATION REGARDING VARIETY OF FODDER MAIZE?,J-1006.
INFORMATION REGARDING WEED CONTROL IN SUGARCANE?,APPLICATION OF 400 ML 24D AMINE SALT 48% IN 225LT WATER/ACRE.
INFORMATION REGARDING WEATHER FORECAST ?,THE SKY IS PARTLY CLOUDY AND NO CHANCE TO RAINFALL COMING 2 DAYS.
INFORMATION REGARDING WEATHER FORECAST?,NO CHANCE TO RAINFALL NEXT 10 DAYS
INFORMATION REGARDING TRAINING OF MUSHROOMM PRODUCTION?,TRANING WOULD BE CONDUCTED ON 14-15 MAY AT PAU LUDHIANA.
information regarding weather ?,no chances of rainfall in next days
Information regarding how to control Late Blight in Tomato?,Spray 3 gm. Copper Oxychloride in per lt. of water.
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS NORMAL AND NO CHANCE OF RAIN FALL TODAY.
Information regarding how to control Red Pumpkin Beetle in Tinda?,Spray 160 ml. Decis in 100 lt. of water per acre.
INFORMATION REGARDING FOR CTTERPILAR IN BARSEEM?,SPRAY 60 ML CORAGEN IN 100 LTR WATER.
INFORMATION REGARDING WEED CONTROL IN SUGARCANE?,"SPRAY-2,4 D (AMINE SALT 58%) 400ML WITH 250 LITER WATER"
INFORMATION REGARDING FOR CONTROL OF FUNGUS IN BRINJAL ?,SPRAY BLITOX @ 400 GM IN 125 LITRE WATER/ACRE.
INFORMATION REGARDING FOR CONTROL OF CATERPILAR IN MAIZE ?,SPRAY MONOCIL 200 ML + 100 ML NUVAN IN 150 LITRE WATER/ACRE.
Information regarding weather of Amritsar?,"Some sun, then increasing clouds, no chance of rainfall."
Information regarding for wather ?,some clouds and no chance of rain today
information regarding weather of amritsar?,clear weather in next few days.
Information regarding for wather ?,some clouds and no chance rain today
INFORMATION REGARDING CONTROL OF FLOWER DROPING IN MANGO ?,SPRAY 1ML PLANOFIX IN 4.5 LITER WATER /ACER
INFORMATION REGARDING WEATHER FORECAST,TODAY THERE ARE NO CHANCES OF RAIN
INFORMATION REGARDING TO WEATHER?,TOMORROW THERE ARE CHANCES OF RAIN
Information regarding time of nursery sowing of Pusa Punjab Basmati 1509?,Second fortnight of June.
Information regarding weather of Hoshiarpur?,"Very warm with some sun, then increasing clouds, no chance of rainfall."
INFORMATION REGARDING SUNDI IN MAIZE?,SPRAy spark 250 ml in 150 liter of water/acre.
INFORMATION REGARDING WEATHER OF AMRITSAR?,NO CHANCES OF RAINFALL FOR FEW DAYS
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDIITON?,Sunny and unseasonably hot
INFORMATION REGARDING CONTROL OF BORER IN BARSEEM?,SPRAY 40 ML CORAJAN IN 100 LITER WATER /ACER
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDIITON?,Turning cloudy and very warm; a thunderstorm in places in the afternoon
INFORMATION REGARDING FOR THE SPACING OF PLANT TO PLANT & ROW TO ROW IN BITTERGOURD(KARELA) CROP?,SOWING SHOULD BE DONE ON BOTH SIDES OF 1.5M. WIDE BEDS KEEPING PLANT TO PLANT DISTANCE OF 45CM IN BITTERGOURD(KARELA) CROP.
INFORMATION REGARDING WEATHER FORECAST  ?,WEATHER OF SKY IS PARTLY CLOUDY AND NO CHANCE TO RAINFALL TODAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF GREEN GRAM(MOONGI)?,"THE SUITABLE VARIETIES OF GREEN GRAM(MOONGI)-PAU-911,ML-818,ML-613."
information regading weather forcasting?,NO CHANCES RAINFALL NEXT SOME DAYS
information regarding weather?,cloudy weather expected in next few days.
information regarding veriety of moong crop?,veriety ML668
INFORMATION REGARDING VERIETY OF PADDY?,"PR 123,122,121(140-150DAYS) ,PUNJAB BASMATI 3, 1509 (120DAYS)"
information regarding  fruit rot in chilli?,spray 400gm inofil m-45 with 200 liter water/acre
information regarding weather?,weather is cloudy but no chances of rainfall
information regarding VARIETY of sorghum ?,VARIETY OF SORGHUM IN PUNJAB SUDAX CHARI-1 .
information regarding fungal attack in onion?,spray 3gm blue copper@3gm/liter of water.
Information regarding how to control Fruit Borer in Tomato?,Spray 160 ml. Decis in 100 lt. of water per acre.
information regarding variety of paddy ?,"information regarding variety of paddy : PR 123, PR 122,PR121"
HOW TO CONTROL OF CATERPILAR IN BERSEEM CROP?,SPRAY OF TRACER 60 ML IN 100 LIRES OF WATER PER ACRE.
information regrading for the contect no of poultry farm of pau?,the contect no is 0161-2414042.
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY  CHANCE OF LIGHT RAIN FALL TODAY.
INFORMATION REGARDING WEATHER OF TARAN TARAN?,TODAY IS NO CHANCE OF RAIN.
INFORMATION REGARDING FOR THE CONTROL OF CATERPILAR IN BARSEEM CROP ?,FOR THE CONTROL OF CATERPILAR in barseem 50ml coragen/acer
INFORMATION REGARDING VARIETIES OF TURMERIC?,"PUNJAB HALDI-1, PUNJAB HALDI-2."
INFORMATION REGARDING FOR VARIETY OF PADDY ?,"VARIETY OF PADDY ARE PR-123, PR-122 AND PR-121."
information regarding varieties paddy?,"new varieties is pr-123, pr-122,pr-121,  punjab basmati-3"
INFORMATION REGARDING FOR WEATHER,CHANCES OF SHOWERS ON 25 IN AMRITSAR.
INFORMATION REGARDING FOR CONTROL OF FUNGUS IN CHILLIES ?,SPRAY BLUE COPPER @ 400 GM IN 125 LITRE WATER/ACRE.
information regarding weather ?,some clouds and some chances of rainfall on 25th April .
INFORMATION REGARDING TO WEATHER ?,WEATHER IS CLOUDY IN UPCOMING DAYS.
INFORMATION REGADING WEATHER FORCASTING?,25 APRIL CHANCES OF RAINFALL
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA)BASMATI ?,"PUNJAB BASMATI-3,PUSA PUNJAB BASMATI-1509 ,PUSA BASMATI-1121 ."
INFORMATION REGARDING WEATHER FORECAST,WEATHER OF KAPURTHALA-SKY IS PARTLY CLOUDY .
INFORMATION REGARDING CONTROL OF CATTLE PILLAR IN WHEAT CROP?,SPRAY MONOCILL 400ML IN 200 LITRE OF WATER/ACRE
information regarding control of cater piller in moong?,spray of ekalux @200 ml in 200liter water/acer
INFORMATION REGARDING FOR CONTROL OF APHIDS IN WHEAT ?,SPRAY SOLOMON @ 80 GM IN 125 LITRE WATER/ACRE.
INFORMATION REGARDING FOR WEATHER,WEATHER IS CLEAR FOR FEW DAYS IN AMRITSAR.
information regarding control of cater piller in bhindi?,spray of proclaim @200 ml in 150 litre water/acer
INFORMATION REGARDING FOR CONTROL OF CATERPILAR IN WHEAT ?,SPRAY EKALUX @ 400 ML IN 125 LITRE WATER/ACRE.
INFORMATION REGARDING FOR WEATHER,SOME CHANCES OF SHOWERS ON 25 APRIL IN AMRITSAR.
INFORMATION REGARDING WEATHER OF AMRITSAR?,NO CHANCE OF RAINFALL TILL 25TH APRIL.
contact no.of PAU ?,contact no.of PAU : 01612401960
INFORMATION REGARDING WEATHER FORECAST,INFORMATION REGARDING WEATHER FORECAST : THERE ARE CHANCES OF RAIN AFTER TWO DAYS
INFORMATION REGARDING FOR THE CONTROL OF ARMY WORM ATTACK ON WINTER MAIZE(SIALU MAKKI) CROP?,"FOR THE CONTROL OF ARMY WORM ATTACK ON WINTER MAIZE(SIALU MAKKI) CROP,SPRAY 250ML CYPERMETHRIN 25%EC MIXED WITH 150LITRE WATER PER ACRE."
information regarding control of cattle pillar in wheat?,spray acqalux 400ml in 200 litre of water/acre
information regarding new variety of paddy?,pr 123 and average yield is 29 quintals/acre
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PR 123,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING WEATHER FORCASTING?,"SOME CHANCES OF RAINFALL 25,26 APRIL"
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDIITON?,"An isolated thunderstorm in the evening; otherwise, clearing"
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"Sutable Variety of Paddy (Zona) -P-121, on -122, on -18, on -114,-114, on -111, on -116, on -115,-115, at -113,"
information regarding weather of,some clouds and no chances of rainfall .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"Supitable varieties of Paddy (Jhona) -PR-123 (New Variety-2014), pr -21, pr -22, pr -118, pr -114, pr -111, pr -116, pr -115, pr -13,Pusa-44, HKR-47, Pusa Punjab Basmati-1509, Punjab Basmati-3."
INFORMATION REGARDING FOR CONTROL OF PURPLE COLOUR IN MAIZE ?,SPRAY NPK (0:52:34) @ 1 KG IN 100 LITRE WATER/ACRE.
INFORMATION REGARDING YIELD OF PUSHA BASMATI 1509?,YIELD OF PUSHA BASMATI 1509 IS 15.7Q/ACRE.
asking about weather forcasting today?,no chance of rainfall today
INFORMATION REGARDING NEW VARIETY OF PADDY?,PR 123 AND 29 QUINTALS/ACRE AVERAGE YIELD
INFORMATION REGARDING NURSERY SOWING OF PADDY ?,INFORMATION REGARDING NURSERY SOWING OF PADDY : TIME FOR NURSERY SOWING IS FROM 15 TO 30 MAY
INFORMATION REGARDING CONTROL OF late blight of tometo?,SPRAY 500 GM RIDOMIL MZ  200 LITER WATER  /ACER
INFORMATION REGARDING TRANING OF MUSHROOM CROP?,I HAVE GIVE TO THE CONTACT NO-0183-2505672 IN KVK AMRITSAR.
INFORMATION REGARDING CONTROL OF CATTLE PILLAR IN SUNFLOWER?,SPRAY NOVAAN 200ML IN 100 LITRE OF WATER/ACRE
# INFORMATION REGARDING SEED RATE OF RICE CROP?,I TOLD THE KISAN SEED RATE OF RICE CROP:-8-10 KG SEED PER ACRE.
how to weed control of in rice crop?,"A: spray nominee gold 10 sc @ 100 ml in 150 litres of water per acre,as 20-25 days after transplanting."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"Sutable Variety of Paddy (Zhona) -P 123, Par-121, Par-122, on -18, on -114, -114, on -111, -116, on -16, -115, on -115, on -113, -113, -116, -116, -116, 1121,1509, pub-3"
INFORMATION REGARDING FOR THE CONTROL OF EARLY BLIGHT DISEASE IN TOMATO CROP?,"FOR THE CONTROL OF EARLY BLIGHT DISEASE IN TOMATO CROP,PLEASE SPRAY CABRIO TOP(PYRACHLOSTROBIN) -300GM/ACRE."
INFORMATION REGARDING WEATHER FORECAST,TOMORROW THERE ARE CHANCES OF RAIN
information regarding weather of Amritsar?,clear weather in next few days.
INFORMATION REGARDING TO WEATHER?,no chance of rainfall today
Information regarding weather of Amritsar?,"Mostly clear, no chance of rainfall."
INFORMATION REGARDING FRUIT DROPPING IN CITRUS PLANTS ?,SPRAY PLANOFIX 50 ML IN 200 LITRE OF WATER PER ACRE
information regarding weather ?,some clouds and no chances of rainfall today.
information regarding aphids in maize?,spray 100ml metasystox in 100 liter of water/acre.
INFORMATION REGARDING IMPROVED VARIEITS OF RICE?,"Improved Variets of Rice 111 on Rice, 113 on 114, 115 on 115, 121 on, 121, 122, 123."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"Punjab Basmati-3, PUSA Punjab Basmati-1509, Basmati-1121."
INFORMATION REGARDING WEATHER FORECAST,THERE ARE NO CHANCES OF RAIN IN NEXT  DAY.
INFORMATION REGARDING TO WEATHER ?,WEATHER IS CLOUDY BUT NO CHANCE OF RAINFALL.
INFORMATION REGARDING TO WEATHER ?,THERE ARE NO CHANCES OF RAIN IN NEXT  DAY.
CONTROL OF FLOWER DROP IN CHILLI?,"SPRAY 1ML PLANOFIX(NAA) IN 4.5LT WATER, ADJUST DOSE ACCORDINGLY."
INFORMATION REGARDING WEATHER FORECAST,THERE ARE SOME CHANCES OF RAIN IN NEXT  DAY.
INFORMATION REGARDING WEATHER FORECAST,TOMARROW SOME CHANCES OF SHOWERS IN AMRITSAR.
INFORMATION REGARDING TO WEATHER?,some chances of rainfall tomorrow.
information regarding weather?,some chances of rainfall tomorrow.
INFOMATION REGARDING FOR THE SOWING TIME OF PADDY ?,SUITABLE SOWING TIME OF PADDY IS MID MAY.
INFORMATION REGARDING FRUIT DROPING?,SPRAY 1 ML PLANOFIX IN 4 LTR WATER.
INFORMATION REGARDING TO WEATHER?,THERE ARE SOME CHANCES OF RAIN IN NEXT TWO DAYS.
INFORMATION REGARDING WEATHER OF AMRITSAR?,I TOLD THE KISAN 10 % CHANCE OF RAIN.
INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF SUGARCANE PLANTING?,"THE FERT. DOSE AT THE TIME OF SUGARCANE PLANTING-DAP-75KG,MOP-40KG & UREA-40KG."
INFORMATION REGARDING WEATHER OF AMRITSAR?,SOME  CHANCE OF RAIN FALL NEXED ONE DAYS .
information regarding control of red bittle in vegetables ?,spray ALANTO 200 ml in 150 litre of water per acre
Information regarding how to control Leaf Spots on chillies?,Spray 500 gm. Antracol in 200 lt. of water per acre.
INFORMATION REGARDING FOR THE SOWING TIME OF COTTON(NARMA)?,THE SOWING TIME OF COTTON(NARMA) IS-1ST APRIL TO 15 MAY.
INFORMATION REGARDING  IMPROVED  VARIETES OF rice?,"pr 123 ,pr122 , pr121 ."
INFORMATION REGARDING TO WEATHER ?,SOME CHANCES OF RAIN IN NEXT 2 DAYS
INFORMATION REGARDING TO WEATHER?,some chances of rainfall today.
INFORMATION REGARDING PUNJAB BASMATI-3?,"YIELD-16Q/ACRE, HEIGHT-105CM, MATURES IN 139DAYS."
INFORMATION REGARDING CONTROL OF CATTLE PILLAR IN WHEAT CROP?,SPRAY 400ML ACQALUX IN 200 LITRE OF WATER/ACRE
INFORMATION REGARDING UREA REQUIREMENT IN OKRA?,80KG UREA IN TWO SPLIT DOSE. 1ST AT TIME OF SOWING & 2ND AFTER FRUIT PICKING.
INFORMATION REGARDING CONTROL OF FRUIT DROP IN CITRUS?,SPRAY 20MG 2-4D SODIUM SALT OF HORTICULTURE GRADE IN 1LT WATER.
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-1 MAY TO 25MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
INFORMATION REGARDING WEATHER?,SOME CHANCES OF RAINFALL TOmorrow
information regarding weather ?,some clouds and some chances of rainfall on fri-sat .
INFORMATION REGARDING CONTROL OF CATTLE PILLAR IN MAIZE?,SPRAY 400ML ACQALUX IN 200 LITRE OF WATER/ACRE
INFORMATION REGARDING IMPROVED VARIETIES OF  MOONG?,"IMPROVED VARIETIES OF SUMMER MOONG PAU 911,ML 818 ML 613."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF COTTON(NARMA)?,"THE SUITABLE VARIETIES OF COTTON(NARMA) IS -RCH-650,RCH-776,RCH-134Bt,RCH-317Bt,RCH-308Bt,MRC-6301,MRC-6304 & MRC-7031 BOLLGAURD-II(RUBI),ANKUR-651,ANKUR-09,ANKUR-2534."
information regarding weather of moga?,clear weather in next few days.
Information regarding for wather ?,some clouds and chnce of rain
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"Suitable Variatis of Paddy (Jhona) -PR-121, pr -22, pr -23, pr -118, pr -114, pr-1111, pr -116, pr -115, pr -113, pusa-44, hkr-47, Pusa Punjab Basmati-1509, Punjab Basmati-3, Pusa-1121."
information regarding weather of moga?,cloudy weather in next few days.
INFORMATION REGARDING FRUIT DROPPING OF CHILLIES ?,SPRAY PLANOFIX 1 ML IN 4.5 LITRE OF WATER
Information regarding for wather ?,some clouds and no chance of rain
information regarding control of flower droping in anar?,spray planofix @ 1 ml in 4.5 liters of water/acre.
INFORMATION REGARDING TO WEATHER?,THERE ARE SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING SEED RATE OF RICE CROP?,I TOLD THE KISAN SEED RATE OF RICE CROP:-8-10 KG SEED PER ACRE.
INFORMATION REGARDING FOR VARIETY OF PADDY ?,VARIETY OF PADDY IS PR-123 AND ITS YIELD IS 29.0 Q/ACRE.
INFORMATION REGARDING FOR GOOD GROWTH OF BITTER GUARD ?,SPRAY TATA BAHAAR @ 200 ML  IN 100 LITRE WATER/ACRE.
INFORMATION REGARDING VERIETY OF RICE?,"PR 123(30QTIS),121(31QTLS),111(28QTLS)"
information regarding veriety of moong?,"ML-668, ML-818, ML"
INFORMATION REGARDING CONTROL OF red pumpkin beetle ?,brodcasting 2.75 kg FURADAN 3 G IN /ACER
Information regarding varieties of Basmati?,"Pusa Punjab Basmati-1509, PUSA-1121, Punjab Basmati-3."
UREA REQUIREMENT FOR CITRUS PLANT OF AGE 2-3 YEARS OLD?,110-130GM UREA IS REQUIRED PER PLANT.
INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF  COTTON(NARMA) SOWING?,"THE FERT. DOSE AT THE TIME OF  COTTON(NARMA) SOWING IS-FYM.-250Q.,DAP-22KG,MOP-20KG & UREA-130KG./ACRE."
INFORMATION REGARDING FLORICULTURE?,"PROVIDE BASIC INFORMATION, FOR TRAINING & OTHER ASSISTANCE;PLEASE CONTACT NEAREST KVK.0183-2505672"
INFORMATION REGARDING WEATHER?,WEATHER IS DRY AND THERE ARE NO CHANCES OF RAIN today.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"Suitable Variatis of Paddy (Jhona) -PR-123 (New Variety-2014), PR 123, PR-121, Pr-122, Pr-118, Pr-114, Pr-11111, Pr-116, PR -15, Pr-113, Pusa-44, HKR-47, Pusa Punjab Basmati-1509, Pusa Punjab Basmati-1121, Punjab Basmati-3."
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-NARSERY-1MAY AFTER 10 JUNE  & BASMATI VARIETIES-FIRST WEEK OF JUNE .
information regarding weather ?,no chances of rainfall in next few days
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"Supitable varieties of Paddy (Jhona) -PR-123 (New Variety-2014), pr -21, pr -22, pr -118, pr -114, pr -111, pr -116, pr -115, pr -13,Pusa-44, HKR-47, Pusa Punjab Basmati-1509, Pusa Punjab Basmati-1121, Punjab Basmati-3."
INFORMATION REGARDING WEATHER FORECAST OF AMRITSAR?,WEATHER REMAINS ALMOST CLEAR.
how many days taken by variety pr111 to ripe,its take around 138 days to ripe after seeding
INFORMATION REGARDING HELP LINE NUMBER OF ANIMAL HUSBANDRY DEPARTMENT ?,HELP LINE NUMBER OF ANIMAL HUSBANDRY DEPARTMENT : 0161- 2414005 .
information regarding weather?,no chances of rainfall in next few days
information regarding control of root rot in bhindi?,spray of indofil m-45 @300 gm in 200 litre water/acer
CONTROL OF FRUIT ROT IN OKRA?,SPRAY 750GM INDOFIL M-45 IN 250LT WATER/ACRE.
INFORMATION REGARDING FOR CONTROL OF BLIGHT SPOTS IN TOMATO ?,SPRAY BLUE COPPER @ 400 GM IN 125 LITRE WATER/ACRE.
INFORMATION REGARDING FOR CONTROL OF FRUIT DROPPING IN CITRUS PLANT ?,SPRAY BAVISTIN 15 GM + 2-3 DROPS OF HORTICULTURE GRADE IN 15 LITRE WATER. DONT REPEAT THIS SPRAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)- PR 123,PR-121,PR-122,PR-118,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE CONTACT NUMBER OF ANIMAL HUSBANDRY DEPTT. OF AMRITSAR ?,PLEASE CONTACT ON THIS NUMBER - 0183-2536283 (Dr. JAGDISH CHANDER).
information regarding weather of amritsar?,no chances of rainfall for few days
INFORMATION REGARDING FOR THE  SEED RATE OF BAJRA PER ACRE?,the seed rate of bajra is 6-8kg/acre
INFORMATION REGARDING WEATHER FORECAST  ?,WEATHER IS CLOUDY  AND SOME CHANCE OF RAIN TODAY.
INFORMATION REGARDING TO WEATHER?,no chance of rainfall.
information regarding planting time of paddy and basmati rice?,15 may and 15 june
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"Punjab Basmati-3, Pusa Punjab Basmati-1509, Pusa Basmati-1121, (Zona) on -121,-122, on -123, on -111, -11, -113, -114, on -144, on -114, on -114,-114, on -166, But -118."
INFORMATION REGARDING WEATHER FORECAST?,NO CHANCE TO RAINFALL NEXT FEW DAYS
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDIITON?,"Variably cloudy and not as hot; an isolated thunderstorm in the morning, then a thunderstorm or two"
Information regarding varieties of Paddy?,"On-123, on -111, on -122, on -121, at -118."
HOW TO CONTROL RED BITTLE IN INDIAN SQUASH CROP ?,SPRAY TO LANNED @ 200ML IN 150 LITER OF WATER / ACRE.
INFORMATION REGARDING WEATHER FORECAST?,NO CHANCE TO RAINFALL NEXT 7 DAYS
INFORMATION REGARDING FOR THE CONTROL OF JASSIDS IN BRINJAL(BAINGAN)  CROP?,"FOR THE CONTROL OF JASSIDS IN BRINJAL(BAINGAN)  CROP,PLS SPRAY ACETAMEPRIDE-150GM/ACRE IN 120 LITRE WATER."
INFORMATION REGARDING NURSERY TIME OF PADDY?,15-30 MAY IS SUITABLE TIME
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-10 TO 25MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
INFORMATION REGARDING FOR THE CONTROL OF TOBACCO CATTERPILLER ATTACK ON BLACK GRAM(MAH) CROP?,"FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON BLACK GRAM(MAH) CROP,PLS SPRAY 200ML NOVACULAN MIX WITH 120 LITRE WATER PER ACRE."
information regarding control of caterpiller in barseem?,spray of korajen @60 ml in 200 litre water/acer
INFORMATION REGARDING WEATHER ?,TODAY WEATHER IS NORMAL AND NO CHANCES OF RAINFALL
information regarding varieties of basmati?,pusa punjab basmati no.3.
INFORMATION REGARDING  VERITY OF PEGEON PEA ?,"INFORMATION REGARDING  VERITY OF PEGEON PEA -PAU 881,AL 15,AL 201."
INFORMATION REGARDING  CONTROL OF BLACK BUG IN SUGARCANE ?,SPRAY 375 ML CLOROPYRIFAS IN 400 LITER WATER /ACER
information regarding control of late blite in tomato?,spray of ridomil MZ@500gm in 100 litre water/acer
INFORMATION REGARDING FERTILIZER DOSE IN SUGARCANE?,"I TOLD THE KISAN FERTILIZER DOSE IN SUGARCANE:-NPK-19,19,19 @ 1 LITRE IN 100 LITRES OF WATER PER ACRE."
CERCOSPORA LEAF SPOT PROBLEM IN OKRA,SPRAY BAVISTIN 2G/2LTR OF WATER
INFORMATION REGARDING FOR THE NEW VARIETIE OF PADDY(JHONA) ?,FOR THE NEW VARIETIES OF PADDY(JHONA)-PR-123
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"Sutable Variety of Paddy (Zona)-123, on -121,-122, on -18, at -114, -114, -111, -116, on -16, -115, -115, on -113,, Pusa Punjab Basmati-1509,Punjab Basmati-3."
WHITE FLY CONTROL IN GUAVA,SPRAY SUMICIDIN 20EC 1250ML IN 500LTRS OF WATER
INFORMATION REGARDING FOR WEATHER,WEATHER IS DRY AND THERE ARE NO CHANCES OF RAIN IN NEXT 2 DAYS.
INFORMATION REGARDING FUNGICIDE FOR CHILLI ?,INFORMATION REGARDING FUNGICIDE FOR CHILLI: SPRAY 400 GM INDOFIL M 45 IN 150 LITRE OF WATER PER ACRE
